record_id,text
s1,"I could not find the settings for two-factor authentication anywhere in the app."
s2,"The wording on the cancellation screen was confusing — I thought I would lose my data immediately."
s3,"The save button was slow and I was not sure it worked until I refreshed the page."
s4,"I did not get any feedback after tapping pay; I tapped three times and was charged once, thankfully."
s5,"The error code 0x4F2 meant nothing to me and support could not explain it either."
s6,"The form asked for my phone number twice in different formats and rejected both without hints."
s7,"The dashboard felt cluttered and I overlooked the notification badge until the session ended."
s8,"After the session timed out I lost my draft and had to start the long application from scratch."
s9,"The site felt unofficial because the logo was blurry and the SSL badge looked different from my bank."
s10,"Search results took forever and there was no loading indicator so I assumed nothing was happening."
s11,"I was stuck in a loop between login and verify email with no clear way to resend the link."
s12,"I could not tell which field was wrong because the red outline appeared on the whole form block."
